0.28,0.22,0.29,0.23,0.30,0.28,0.37,0.35,0.39,0.43,0.45,0.50,0.53,0.55,0.58,0.60,0.62,0.62,0.60,0.59,0.59,0.55,0.51,0.48,0.44,0.40,0.38,0.34,0.29,0.25,0.22,0.15,0.05,0.06,0.06,0.08,0.07,0.06,0.06,0.05,0.07,0.05,0.07,0.07,0.05,0.06,0.04,0.04,0.03,0.04
0.30,0.21,0.27,0.23,0.29,0.27,0.35,0.37,0.42,0.44,0.50,0.52,0.57,0.61,0.65,0.66,0.66,0.65,0.67,0.66,0.64,0.61,0.61,0.54,0.53,0.48,0.40,0.36,0.34,0.31,0.28,0.23,0.12,0.09,0.07,0.06,0.05,0.07,0.08,0.06,0.04,0.06,0.05,0.06,0.07,0.04,0.05,0.05,0.03,0.05
0.28,0.14,0.26,0.19,0.29,0.29,0.36,0.38,0.43,0.45,0.53,0.57,0.61,0.65,0.69,0.72,0.74,0.74,0.76,0.74,0.73,0.70,0.66,0.64,0.55,0.51,0.46,0.42,0.38,0.33,0.29,0.26,0.22,0.13,0.12,0.05,0.06,0.06,0.07,0.07,0.09,0.04,0.05,0.05,0.06,0.04,0.06,0.04,0.05,0.06
0.24,0.11,0.21,0.16,0.32,0.30,0.35,0.38,0.44,0.49,0.56,0.60,0.68,0.72,0.76,0.78,0.81,0.81,0.84,0.86,0.84,0.82,0.77,0.74,0.67,0.59,0.57,0.52,0.47,0.40,0.36,0.28,0.24,0.23,0.21,0.12,0.09,0.06,0.10,0.07,0.06,0.05,0.05,0.07,0.07,0.08,0.04,0.04,0.02,0.03
0.22,0.16,0.20,0.22,0.28,0.30,0.36,0.38,0.48,0.52,0.59,0.70,0.73,0.78,0.83,0.88,0.92,0.94,0.96,0.95,0.93,0.91,0.87,0.82,0.79,0.71,0.65,0.59,0.53,0.46,0.39,0.33,0.30,0.25,0.22,0.13,0.12,0.03,0.06,0.06,0.08,0.07,0.05,0.08,0.04,0.05,0.04,0.04,0.04,0.05
0.24,0.06,0.17,0.11,0.27,0.29,0.35,0.39,0.51,0.57,0.65,0.69,0.77,0.86,0.95,0.94,0.98,1.02,1.03,1.03,1.02,0.99,0.98,0.93,0.84,0.81,0.74,0.64,0.58,0.55,0.47,0.39,0.35,0.31,0.25,0.18,0.20,0.13,0.12,0.08,0.10,0.04,0.05,0.06,0.04,0.05,0.05,0.06,0.04,0.05
0.19,0.09,0.18,0.11,0.27,0.28,0.36,0.42,0.51,0.57,0.69,0.74,0.79,0.84,0.96,1.02,1.06,1.08,1.10,1.12,1.12,1.10,1.06,1.01,0.95,0.86,0.83,0.77,0.68,0.62,0.49,0.43,0.40,0.33,0.29,0.24,0.23,0.12,0.11,0.10,0.05,0.07,0.07,0.05,0.10,0.08,0.06,0.04,0.02,0.04
0.17,0.06,0.11,0.07,0.25,0.28,0.36,0.41,0.51,0.57,0.68,0.73,0.83,0.92,1.00,1.05,1.08,1.14,1.17,1.19,1.18,1.15,1.12,1.07,1.03,0.96,0.86,0.78,0.72,0.64,0.57,0.52,0.43,0.36,0.31,0.26,0.24,0.22,0.20,0.08,0.08,0.10,0.05,0.07,0.05,0.04,0.04,0.05,0.06,0.07
0.07,0.03,0.05,0.03,0.05,0.11,0.16,0.25,0.29,0.33,0.37,0.44,0.48,0.53,0.57,0.63,0.67,0.71,0.73,0.77,0.80,0.81,0.79,0.77,0.73,0.69,0.66,0.57,0.56,0.50,0.45,0.39,0.32,0.28,0.24,0.21,0.11,0.07,0.06,0.08,0.05,0.04,0.07,0.08,0.07,0.07,0.06,0.04,0.06,0.04
0.12,0.08,0.11,0.13,0.24,0.29,0.36,0.44,0.59,0.67,0.76,0.85,0.91,1.00,1.08,1.16,1.21,1.30,1.34,1.38,1.39,1.38,1.35,1.30,1.26,1.19,1.13,1.03,0.95,0.80,0.71,0.68,0.58,0.50,0.43,0.35,0.31,0.28,0.25,0.22,0.14,0.09,0.13,0.08,0.08,0.06,0.09,0.05,0.05,0.05
0.16,0.04,0.09,0.12,0.25,0.28,0.37,0.47,0.56,0.63,0.72,0.83,0.96,1.04,1.13,1.23,1.31,1.39,1.42,1.46,1.47,1.49,1.46,1.40,1.35,1.27,1.21,1.09,0.98,0.94,0.84,0.73,0.64,0.54,0.45,0.39,0.34,0.30,0.27,0.22,0.23,0.19,0.12,0.08,0.09,0.05,0.05,0.06,0.05,0.06
0.16,0.05,0.05,0.13,0.26,0.30,0.38,0.51,0.62,0.66,0.78,0.82,0.92,1.06,1.14,1.28,1.33,1.45,1.48,1.53,1.55,1.55,1.54,1.49,1.44,1.39,1.32,1.22,1.13,1.03,0.91,0.82,0.72,0.62,0.52,0.45,0.36,0.31,0.29,0.24,0.22,0.20,0.19,0.17,0.09,0.11,0.09,0.08,0.05,0.06
